net,length_um
net1,60.26µm
_16_,47.06µm
net3,30.4µm
net6,29.96µm
clknet_1_0__leaf_clk,29.13µm
net2,29.04µm
clknet_0_clk,27.58µm
clknet_1_1__leaf_clk,27.34µm
net4,26.68µm
q[2],24.83µm
_14_,23.28µm
net7,22.94µm
net8,22.72µm
q[1],21.93µm
net5,19.59µm
_15_,19.55µm
_20_,18.16µm
_09_,15.92µm
_12_,14.66µm
q[6],14.39µm
clk,13.91µm
_22_,13.88µm
net11,13.56µm
net15,12.04µm
net14,11.7µm
q[0],11.22µm
q[7],11.03µm
_17_,10.36µm
rst,10.23µm
_21_,10.16µm
net16,10.16µm
net17,8.78µm
_18_,8.4µm
_13_,8.25µm
_06_,7.86µm
_08_,7.79µm
net12,7.68µm
_10_,6.71µm
q[3],5.75µm
_02_,5.52µm
net9,5.38µm
net18,5.38µm
_00_,5.34µm
q[4],5.07µm
net13,5.06µm
q[5],4.39µm
net10,4.02µm
_19_,4µm
_07_,3.76µm
_05_,2.74µm
_03_,2.305µm
_01_,1.84µm
_11_,1.82µm
_04_,1.36µm
